cpu,mem,io,socket,delay,loss,method,dataset,length,tdelta,speed,with_baro,disk
,,,,0.6,,baro,online-boutique,20,0,0.12,False,
,,,,,0.4,baro,re2-tt,20,0,0.31,False,
,,,,,0.0,causalrca_anomaly,re2-tt,20,0,95.74,False,
,,,,,0.4,causalrca_anomaly,re2-tt,20,0,95.59,True,
,1.0,,,,0.8,baro,re2-tt,20,0,0.3,True,1.0
,1.0,,,,0.8,causalrca_anomaly,re2-tt,20,0,93.1,True,1.0
,,,,,0.8,baro,re2-tt,20,0,0.28,True,
,,,,,0.8,causalrca_anomaly,re2-tt,20,0,54.32,True,
,,,,0.73,,baro,re1-ob,20,0,0.12,True,
,,,,0.73,,causalrca_anomaly,re1-ob,20,0,15.94,True,
,,,,0.73,,causalrca_anomaly,re1-ob,20,0,16.46,True,
,,,,0.73,,causalrca_anomaly,re1-ob,20,0,16.07,True,
,,,,0.73,,causalrca_anomaly,re1-ob,20,0,17.26,True,
,,,,1.0,,causalrca_anomaly,re2-ob,20,0,25.77,True,
,,,,0.8,,baro,re2-ob,20,0,0.11,True,
,,,,1.0,,causalrca_anomaly,re2-ob,20,0,23.92,True,
0.8,1.0,,0.84,0.84,0.91,causalrca_anomaly,re2-ob,20,0,25.29,True,0.99
0.64,0.87,,0.67,0.67,0.8,baro,re2-ob,20,0,0.11,True,0.81
0.8,1.0,,0.84,0.84,0.91,causalrca_anomaly,re2-ob,20,0,22.73,True,0.99
0.31,0.35,,0.01,0.17,0.13,causalrca_anomaly,re2-ob,20,0,23.23,False,0.12
0.8,0.83,,0.71,0.68,0.8,baro,re2-ss,20,0,0.11,False,0.77
1.0,0.99,,0.91,0.88,0.95,causalrca_anomaly,re2-ss,20,0,24.49,True,0.96
0.32,0.31,,0.28,0.44,0.4,causalrca_anomaly,re2-ss,20,0,24.18,False,0.37
,,,,0.0,,causalrca_anomaly,re2-ss,100,0,5.23,False,
,,,,1.0,,causalrca_anomaly,re2-ss,100,0,5.18,True,
,,,,0.8,,baro,re2-ss,100,0,0.12,True,
1.0,0.99,,0.88,0.84,0.95,fits_linear,re2-ss,100,0,4.77,True,0.95
0.8,0.83,,0.68,0.64,0.79,baro,re2-ss,100,0,0.11,True,0.83
0.81,0.84,,0.68,0.65,0.8,baro,re2-ss,100,0,0.12,True,0.81
1.0,0.99,,0.88,0.84,0.95,fits_linear,re2-ss,100,0,1.44,True,0.95
0.71,0.48,,0.33,0.28,0.16,fits_linear,re2-ss,100,0,1.49,False,0.53
0.78,0.98,,,0.94,0.65,baro,re1-ob,100,0,0.12,False,0.93
0.14,0.36,,,0.22,0.14,fits_linear,re1-ob,100,0,1.83,False,0.34
0.78,0.98,,,0.94,0.65,baro,re1-ob,100,0,0.12,False,0.93
0.82,0.99,,,0.92,0.65,fits_linear,re1-ob,100,0,1.88,True,0.94
0.82,0.99,,,0.92,0.65,fits_linear,re1-ob,100,0,2.94,True,0.94
